0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,label
459219.68050659366,246609.34297232452,-202476.08476004345,93846.93193836843,49199.575033467474,-86723.62664915498,16672.47688142694,-104392.33113525386,46066.479384560924,-162583.270145541,190402.2444089298,67397.63899061078,-36651.821177066355,-13197.101743904632,-94320.27082006943,50.94558384194636,81468.99495333349,-37561.420843919,-65210.15867490077,24557.371375492818,7660.550009197072,-3110.096662002883,42021.266034704495,60429.965977197164,35247.45811583974,-57213.34237055169,42334.11989000658,-777.987247326635,58609.65699712252,-16782.82512291113,53513.20008264094,-3016.521924939423,81469.35095615806,62277.788005296905,-27920.774912018303,55806.007499179395,-36950.53833810206,54756.878358872265,51899.46958518234,13456.562622744068,13219.595916883278,6941.926974883907,7173.690386131075,117452.64610970276,-10214.023554638792,-13422.373849944766,-61465.72142129773,13023.629381351311,18442.251552053243,-30875.738239214144,-59641.26923026425,-1760.7239426237604,36598.211279536044,-14281.154652027422,72053.50989767563,15215.876831662401,57532.9627453587,69393.71264971049,8535.62269819418,-10579.320234935865,44878.77161102441,-107123.54407441654,-52470.7168751475,58579.119977358394,99329.47830822191,-52737.582519004645,12908.567205044432,22520.099352798057,-24541.6963713659,-35122.36350732968,-10490.665803285903,26117.251245912452,-71973.4290525725,-48256.12930663572,-35916.617142592615,8589.201502051834,36749.03290747762,28748.8630660966,-30022.94852141831,-69063.6001856537,0
458369.2630876727,249005.90226936736,-205549.96929903695,100598.67804582386,53593.08867009729,-65725.74286077777,8911.239815486037,-104813.55339742385,32728.431570968467,-179180.50421204002,162030.63497622203,90441.46091386757,-60511.7728321308,-36070.823795765384,-95803.98804183169,23253.819016722384,83041.0032948705,-34187.905451428,-65327.88804017865,12691.740120609982,-9460.130196381333,3402.6176736451052,22501.916445719424,73544.69109719769,38912.12247980571,-45692.30412778872,27540.18541490316,22677.721834340005,60924.429710956305,-51388.88606226423,1550.3893835579102,-11428.018409347935,81790.84426601572,40339.02642683986,-24613.094479475847,50820.02223908546,-33435.78440316994,16191.241279497459,52127.20536162511,45787.87031933845,21045.456967361628,-8661.560052022098,-59676.53006412716,108654.44322828371,-767.7083330828436,348.15415105353895,-42948.96254033093,6914.691361879994,64020.04758394072,-49752.8913420928,-9201.637811867922,-2822.3049763410495,68712.62421928541,-35024.91694145231,37371.83332865751,-36047.74459378924,54126.200904850324,27640.098303541257,6364.430619834205,3340.8975783095966,10328.93535524623,-74713.34747114197,33478.870612231876,37088.25147325952,49703.03989345067,-124157.32578513728,18785.011722120387,27717.527846866273,16793.685522979165,-33977.39145879498,14795.37947775331,-13326.594465269092,-65754.90870637141,-34338.65836473727,-12673.287338354243,30441.076555689564,59595.51599309642,-10149.988096498824,-64330.808360457115,-58376.40110962317,0
458219.4305920531,248861.64711169823,-209518.87925262615,107202.5569775764,57836.9698863293,-49851.55043114219,2041.4170329902427,-105806.67178618221,15383.830052954996,-188744.13384037247,123073.03993578567,105902.37972901032,-74548.45701435799,-56603.030862472115,-101092.57013095483,45876.89084240088,56318.004202628385,-31093.089062791078,-56360.98909982106,2536.796137148883,-16207.22958896071,-2595.887189725945,8371.636962791377,67613.92538483413,34615.958420886855,-21778.03540742067,19667.361575273484,44996.69747514955,59141.280401563155,-68120.83723009279,-34451.62413201001,-31284.552360833477,77961.47453560944,15651.222146973785,1168.11016596847,38688.696602738746,-40671.905559524224,-24592.409049641017,35559.24800734526,61804.09412556759,27634.0972659244,-2759.932274333456,-83234.07617522156,83470.8386995543,15651.86523112485,27058.214366732278,6094.258703564454,-7108.021807294627,59251.597061591696,-31125.54627740282,30639.321621219126,7343.090036044241,83429.85258984375,-50053.90557131193,-13119.152223559275,-12916.397953432923,-45680.32815253143,-37800.38749021017,10300.577277653392,5708.667628793974,-16019.599077941715,-22991.238914920432,41501.38772837852,-48694.28087553362,-13954.578656365795,-79627.87781161306,6617.6497051665465,25344.33080968796,32660.101791268346,-23750.57342168369,3127.9911856926574,-49623.968274096296,-22024.93311631668,2676.5475278188833,-6599.141593698558,29966.041133251263,72254.69529812857,-26933.507834827917,-65679.05813249416,-33031.01895006707,0
459068.593407925,246941.49484180904,-210241.4049279305,110557.00085822499,59398.32236146805,-32607.75214375254,462.38004253958206,-111627.71933351278,-6190.912891459106,-204781.82691673268,84119.85477056222,105245.80568511583,-88238.52811418279,-75092.40624480956,-108339.88345122396,54980.26329608028,35398.53551200143,-15260.340252915328,-56459.4335103509,-7130.2385955837,-35112.786739957985,-1748.076834318992,-4942.066307854755,76384.19111428177,37365.7623370159,4702.614268280552,11724.259728193145,70380.26811300348,42418.847873800405,-45773.666735797364,-54920.746598691454,-71390.0012369432,88817.26936310208,-11693.792884231847,66121.96367478855,30673.97035854791,-39248.52808400353,-35751.494323592866,25638.78640014578,70223.04659812523,16904.54671248884,7371.702664802073,-88947.95136810218,56340.34063955737,54472.334637551896,41180.6939458841,42515.14547179554,-12741.17695666337,35539.439593877694,-10612.402541195837,53133.612189931075,-6073.952575353831,78346.28480492799,-35037.86274766508,-41140.733156667644,61608.59551769624,-65203.19872941275,-54996.841317643084,27367.778579924365,16907.955555388362,33432.660868860155,9624.887905871154,-21275.802419283755,-80389.91974554119,-52937.094454756,3172.5302650359263,12947.436233649287,-652.3542362890835,54498.42821573109,-23468.609706492738,4408.2335939768,-90011.95382592498,11433.402424784323,26810.510697546073,-18877.773810610535,7680.646214211993,39926.490961011186,-15402.506490141908,-49359.989597325985,-38233.10891794156,0
459594.4252568539,248628.71301081072,-208064.27456122945,115728.84302410403,60859.257385752775,-17092.82928432674,-5379.383085568217,-118010.95874656065,-20097.410193938485,-214830.31007490403,42843.50330502128,92441.54401022843,-101928.42254826045,-84125.86059795534,-116792.77599582542,42065.03823851407,7148.602340462701,-10267.846620550641,-50009.18911647058,-16864.68728923027,-46917.9008492964,-15793.286761529122,-12458.563697884709,82775.26669896375,34198.81790445227,19317.633219120078,-8685.221953799217,72091.24784113903,17005.977143268552,-12643.466017952838,-46319.388478230896,-77480.12747450965,95578.43593997488,-31447.232228125402,112938.84188999877,14002.206773656708,-24179.10315119634,-18514.14300843061,18388.090785761575,62515.12261303384,-10517.695580234118,26218.757377073394,-50072.12738775182,26664.14379623296,69203.17949497465,48863.256928451905,67707.13861763084,-13875.849786699759,-10690.106243437434,17585.44891233423,45955.13580313852,-14814.517219077929,38517.69992993805,10373.478977166427,-16079.588206623517,71591.13663068839,645.2644179640765,-3774.391065123863,13479.43117853347,9857.721266742963,74845.53132119797,-46545.47987563898,-65398.185396090885,-45030.56180675709,-41122.950719657325,58997.10177326627,3298.8275744277084,-22278.274217701277,21807.80637508189,-44224.52001295787,12454.35143877275,-42797.14582626621,-5437.572734699972,53869.056916367525,-70798.4311644195,-34931.76596206823,-25016.40135230777,14011.910713792375,-54079.573787035086,-31270.854840174896,0
460068.99598133867,246988.5188162119,-206830.47250271935,119178.14330082896,60491.7320971257,-2526.2419523525655,-9013.91609976332,-123373.60291265593,-34898.2489103688,-217327.35674570638,3811.239432709185,69834.14896535376,-105591.78421235099,-93352.59214743384,-123896.4903046339,17194.4464069947,-21307.704116232002,-7954.440629256011,-44730.04001371992,-25144.786756380825,-47684.7865815292,-15651.959465911303,-25584.863482172677,83381.5644344719,17432.189996227942,21874.064236477556,-21658.787321521082,66512.27311792625,-17297.845829415674,15029.980356834616,-7057.1541882636375,-52869.061810126586,97105.0661212825,-50092.10670645616,135776.39164297484,6982.462412548084,12843.726672353378,-635.1244530026934,17378.179252581707,40376.62938095076,-37807.17788698961,38841.02321948484,-23043.635831441454,-8086.808395756686,65271.549937112926,29178.896295848972,51087.63453839016,8015.815950183885,-20998.937149068388,64772.2455843087,6857.273216674168,-35317.50805258966,13289.83666451895,35810.85697930332,23061.781065858497,-20113.37635726832,56707.56330476101,33610.009428133126,-27602.020341590603,-8769.528454735793,76455.44244713345,-64277.10237275895,2825.1648879693325,-9222.197559936865,-41848.978599407135,55922.72625595867,9947.401848105505,5484.918662412148,377.5519453697401,-51873.96043578742,16134.286193371325,31806.475007795623,-16585.90838114496,97092.36942346932,-49408.51114344328,-30780.17610257695,-69646.84676741244,28949.67382746437,-27238.233617777536,-6509.251214562309,0
461576.335060609,243233.94718063495,-204444.7777907221,125232.28701012637,55697.30070586953,14518.605906075263,-14745.821665278583,-126475.24644217844,-52069.82589192277,-216249.6838218995,-33960.98961975141,45345.4597838742,-111789.79040537571,-89756.9261888299,-128967.89337089167,-16189.333251011301,-25314.269585775994,-6295.110650051596,-30938.87348487845,-32314.247515396164,-49379.07666450663,-23663.33295724399,-44132.91979079375,81191.59434948885,5412.570278574379,32839.95633171317,-31967.32228916551,32691.114960805757,-47995.495671392404,11021.149196473221,29534.55316127974,-24224.995870025938,76633.76667464277,-64973.53353268507,105207.21663283618,4395.511535695712,55139.24229589678,18105.01253430878,37365.93263542698,31990.112919013376,-54076.29370317217,35959.67162111749,-19482.21967025582,-34527.855881359064,35993.8048705962,2489.595449003592,8453.715481880694,-6260.337895033237,-19502.389183796375,89865.20016264723,-52182.13039379236,-35167.96878532111,31677.806402996885,27887.343995927542,8091.843602940273,-78689.34327788911,42790.91207336618,18784.792355667705,-65791.88372807436,297.40685000024405,-4849.000719446041,-49685.85397415884,89406.92277670074,-58558.66137469789,1305.1588115463128,-3396.3079129303756,2767.079700067459,29092.52620278261,-11394.698312318116,-54147.14637719578,-22078.114850756076,60784.90145557004,-3899.6878122790936,104577.31789543081,-12619.520076729996,29094.14044188612,-88711.77049912466,11985.559012737824,-4949.007253519236,-4813.538607623795,0
460319.91821126745,242504.5486959907,-206072.1488364617,127643.40570706424,47541.854086301755,30566.22550720166,-19581.950437551255,-122005.482421264,-60941.93776226935,-205926.70881678758,-65405.55980866075,8743.657559057088,-111346.07778881882,-86057.50248107799,-130838.95574089735,-38176.73513101823,-18900.361438274154,-18781.916153842878,-5815.144110583845,-40625.97430327631,-51759.9390395067,-18381.810059180236,-46650.27433891489,64411.155869383256,-8850.882858761452,41987.49490418205,-36518.99658413474,4195.67747537242,-65531.896166941755,-17793.23429831506,56023.52689249607,-7090.248248237766,45647.37869495337,-82132.00005697506,42423.81409106082,-8589.936255535053,81520.12976548182,14451.195824730581,48931.93744840882,18826.001218131947,-58971.67798036088,14341.79586121781,-29044.03856495347,-42516.326405205895,8063.533697753666,-31349.510825539714,-64228.09023787901,-33579.870560401694,-6180.253317116882,82694.74056830685,-73021.44185386863,-32381.42559734758,96342.94720737623,19814.8825880042,-25331.819950994814,-20510.840449849136,-14178.073092201765,-35423.56818165851,-44741.73229253175,31593.008214642243,-54052.223751135156,10578.946430309352,106080.39584758696,-111621.68384181304,36615.95638070204,18272.316329804406,41684.518172261385,34227.142071424394,-11011.04024050589,-8517.218387841778,-68494.90795135939,58359.10009758589,32699.073243556657,38168.94993239356,10870.34772394138,32197.214919086226,-51879.004044372516,-13149.899811146344,-4384.032487660516,18031.6431645112,0
462537.96047827916,237758.58834866423,-200982.10688477184,130537.74409857286,35972.07784625013,41067.05867335806,-23501.627146923223,-120299.01463636353,-74058.95060950992,-190374.05029619197,-82765.3698789688,-38601.90421133954,-105327.89280742775,-78233.77233871563,-126687.24313751669,-49958.23677546842,-5120.525550694812,-26296.488438097058,1158.700172779947,-42133.23090649793,-53518.34603455216,-18456.898263883577,-43282.94917356666,54631.091600702544,-5278.592838102719,35271.17903923782,-28001.726005733584,-11902.91762780469,-76991.81056836028,-55209.28216157748,52551.21672069625,-14559.150597087697,7439.7617323929135,-96360.10212718141,-16603.524066314312,3747.8380667743068,78547.17093167864,-17649.55021656574,42266.25308654388,3680.5979405923817,-52826.26279748532,-32296.87367595355,-43611.000675785384,-63040.352771208825,-6016.594295420534,-33983.011143179036,-99525.31264204237,-31133.552553457954,14004.485656884557,48918.69826004185,-71845.57175255408,-35735.62286893534,113066.57047405686,21988.543635123184,-32061.878288488475,67140.25836467432,-31063.55446069085,-26544.558050072796,-11028.002104390918,63727.852283963715,-12334.22077934373,28950.17854488089,29661.11427366053,-70368.96132655867,42674.65964483754,83910.68727606144,42089.79246509074,45896.80630050068,-29016.492215839342,44097.94488853522,-49201.623538314685,21662.689270043506,71984.18393981394,11271.569233662807,61021.69630795862,13573.504058221166,-18209.74168817187,-29014.756944279747,-6424.862031243303,46210.54821287896,1
464888.8658611293,231246.80651758393,-191657.50096509513,132738.70444242426,26950.14016574595,51737.905062972735,-22179.26294626243,-118904.25359898238,-89179.60333226983,-167333.1773770536,-96049.33312207417,-80455.43930850369,-99319.70168411495,-62883.33120531278,-119232.58806707646,-54009.52651562653,12801.586071329497,-44494.01420045272,12167.6663351479,-46827.57391926324,-58484.463953225866,-29093.038369253154,-33938.785381490976,47757.19535745164,-3977.8086916340503,33148.826274283565,-28639.367533912333,-26070.096794118974,-73043.86466524572,-74170.0139581975,8948.200060376581,-42749.6820147641,-37545.13245279751,-109822.2948029168,-53043.1148976037,7700.009750854324,48209.92363488485,-29832.523899580297,13783.349811109036,8317.79435746779,-45365.0924477255,-64272.494762335686,-33933.65641068611,-67346.92431152394,-17353.752211637584,-31966.682855129267,-81432.3301587593,-25832.901113259937,24339.39804491827,-24406.447947103028,-18114.139059020556,-55507.92161419333,84477.74084675206,22450.797095107337,-1345.9937280441773,51665.324323242814,13915.694882692342,57557.430393916955,-20321.04174913949,44794.55172247629,51726.51704876326,3073.9435933883406,-29020.794992981737,6191.6051756109455,50842.150753441376,107154.21022252219,60615.93478710696,-10264.809892937907,-54092.79174132207,50223.029725017026,-9737.841407047785,12815.891361976961,74723.33957915421,-46885.059189048756,56925.269778159905,-31453.839346019562,11215.31095949049,-23835.11456818933,18670.750849819153,40277.11818263635,1
