trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5342851339784835, 'e': 0.5601783857476466}",20,7,-82.61399902695456,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
59,False,"{'a': 0.533591014579676, 'e': 0.5565490344104649}",20,3,27.602843940644618,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.53268468045717, 'e': 0.5518384161075767}",20,9,-22.201411740798683,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.532099049464764, 'e': 0.5488116360940264}",20,0,-74.93005148988902,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5310359148548226, 'e': 0.5433508690744998}",25,20,10.028761799193152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5307704632658228, 'e': 0.5419941884591871}",30,20,18.56678528626737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5302399580993489, 'e': 0.5392909811668016}",30,19,3.3070598077624913,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5296570148230217, 'e': 0.5363330226129241}",25,0,-107.23301981315487,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.528334526085682, 'e': 0.5296705868043068}",25,9,-37.4880321475506,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5274898667516061, 'e': 0.5254501264603461}",20,0,-60.02850498281221,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.5264359412948681, 'e': 0.5202218103455449}",25,0,-82.8219879204262,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",1
69,False,"{'a': 0.525121495183877, 'e': 0.5137595112299983}",30,18,-55.52576902423771,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.5244917273259433, 'e': 0.5106861833661879}",20,4,-13.662747310228118,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5236532115537229, 'e': 0.5066169923655895}",20,6,-48.48017589646379,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5229206099982947, 'e': 0.5030830566243506}",30,13,-68.67685693785928,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.5220324001535761, 'e': 0.4988249731350533}",25,15,15.621963500593779,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.521510628682639, 'e': 0.49633707320233256}",20,0,-38.14009787065485,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.5204686497515311, 'e': 0.491398436807518}",20,0,-25.101432447889604,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.5194287526957162, 'e': 0.48650894066588424}",25,0,41.30465055838943,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.518131802676995, 'e': 0.48046542954342225}",20,0,-44.261829160536706,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5170965746447492, 'e': 0.4756847186416878}",25,0,-65.98518287348637,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.5158054477891687, 'e': 0.46977566816470884}",25,14,-6.829522269457786,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5152383737445051, 'e': 0.4671989943381879}",25,19,9.422860020550068,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.51492932344462, 'e': 0.46579949764982825}",30,21,19.115832400661088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5144660955373459, 'e': 0.46370810906393933}",20,3,11.515800921354574,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5135922461573574, 'e': 0.4597832942305652}",25,0,-3.370282858189321,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.512309869181089, 'e': 0.4540717744200527}",25,0,-138.7634940236965,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
85,False,"{'a': 0.5110306941431706, 'e': 0.4484312042481095}",30,11,-28.30034673584835,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.5100606576507857, 'e': 0.4441912793387924}",25,3,-36.21686492365811,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.5089397576460555, 'e': 0.43933195057241364}",25,0,-32.48687548986341,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.507668997364147, 'e': 0.4338744814329909}",20,7,8.532903222344531,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5070094564620452, 'e': 0.4310634430755288}",25,11,23.20524772962517,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5063001398604745, 'e': 0.4280565354289593}",20,1,5.345853540047149,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5053390828879815, 'e': 0.4240092533710473}",20,12,15.611738359115618,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5049349732870639, 'e': 0.42231660391334386}",20,9,-33.56967184853736,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5043798501901264, 'e': 0.42000023843605133}",20,0,-65.22761453964716,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.5033720985772762, 'e': 0.41582116623822357}",20,0,-4.450817644368397,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.5023663604534915, 'e': 0.41168367650353843}",20,10,-63.538037378967566,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.5018642451925114, 'e': 0.409630395600944}",35,23,19.775065372865228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5012623692960434, 'e': 0.40717997184985844}",20,8,14.400430769807725,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5006612152174738, 'e': 0.404744206621735}",30,18,-0.9242559602912765,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.5000607820911405, 'e': 0.4023230122287623}",20,15,-13.918719652355712,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.4998108141972761, 'e': 0.4013184609105419}",20,0,-35.41133408884558,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.49881219152442857, 'e': 0.397325275504954}",20,15,8.591008842973176,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.49856284776979964, 'e': 0.39633320292362273}",20,0,-49.245048048292276,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.49756671853553736, 'e': 0.392389621663808}",30,19,-2.0192851187210925,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.4970196960626665, 'e': 0.39023740277199187}",25,10,0.6418851079311114,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.4962747253862618, 'e': 0.38732157029095776}",25,9,10.354207770000587,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.4954813207186375, 'e': 0.38423535903343603}",20,0,17.19491941995247,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.4944913483795301, 'e': 0.3804121533316052}",35,7,-49.72714890200277,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 1}",1
108,False,"{'a': 0.49310870920223976, 'e': 0.3751234902080432}",20,0,9.05786202093432,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.492123477344104, 'e': 0.37139094911588083}",20,13,-5.7696501552343165,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.4917791114520869, 'e': 0.37009335291196127}",20,2,-5.771001120695345,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.4908947052558395, 'e': 0.3667774566511966}",25,16,3.514468507482153,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.4904530987738346, 'e': 0.3651306661538433}",20,0,-5.38189113827499,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.4894731728288738, 'e': 0.3614975553223355}",25,17,-9.803919592571125,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.48908175088026606, 'e': 0.36005445322936774}",25,12,-2.852651612735132,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.48844635769917394, 'e': 0.3577216889804542}",35,25,-35.26338351533997,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.48795815548326615, 'e': 0.35593754461343535}",20,0,6.894934278299755,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.48698321443832493, 'e': 0.35239590686961875}",25,12,16.189187699353518,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
